"RANK","PLAYER","TEAM_LOGO","TEAM_NAME","MIN","OFF","DEF","TOT","WAR","CONFERENCE"
32,"Patrick Beverley","http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif","Los Angeles Clippers",1508,1.18665541031159,3.33635695612122,4.52301236643281,5.60048353433431,"Western"
33,"Nikola Vucevic","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif","Orlando Magic",2183,0.976286598018968,1.27477750586049,2.25106410387946,5.57854405830631,"Eastern"
34,"Shai Gilgeous-Alexander","http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif","Oklahoma City Thunder",2707,1.5632753578393,-0.424762444446824,1.13851291339248,5.37027415369033,"Western"
35,"Eric Bledsoe","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",1913,1.29151177076501,1.32907611671038,2.62058788747539,5.33455354593873,"Eastern"
36,"Ben Simmons","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",2017,-0.11493509868367,2.43592968651503,2.32099458783136,5.27177875785664,"Eastern"
37,"Derrick White","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif","San Antonio Spurs",1677,1.20920343609624,2.19498544419921,3.40418888029545,5.27170568296865,"Western"
38,"Jarrett Allen","http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif","Brooklyn Nets",1984,0.0497803902699111,2.41515317231172,2.46493356258162,5.25173861640531,"Eastern"
39,"Justin Holiday","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",1957,0.0687879728183508,2.39697228374689,2.46576025656525,5.23025595612962,"Eastern"
40,"Will Barton","http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif","Denver Nuggets",1916,1.49480520979029,1.02829178993688,2.52309699972717,5.12838333634604,"Western"
41,"Brook Lopez","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",2145,-1.40960461282875,3.27848272262277,1.86887810979402,5.07591085694209,"Eastern"
42,"Kristaps Porzingis","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",1908,0.620038337740264,1.77094833852828,2.39098667626854,5.05572818325769,"Western"
43,"Royce O'Neale","http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif","Utah Jazz",2298,-0.0988842250240964,1.66324003678025,1.56435581175616,5.02552121031426,"Western"
44,"Donte DiVincenzo","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",1685,0.537331594267096,2.50893571994393,3.04626731421103,5.00755721799866,"Eastern"
45,"Goran Dragic","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif","Miami Heat",2216,2.09910558363586,-0.489669782622814,1.60943580101305,4.99826617782149,"Eastern"
46,"Jonas Valanciunas","http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif","Memphis Grizzlies",1845,0.494626320412902,2.05929413485829,2.55392045527119,4.97955029017596,"Western"
